2104,3,399900
1600,3,329900
2400,3,369000
1416,2,232000
3000,4,539900
1985,4,299900
1534,3,314900
1427,3,198999
1380,3,212000
1494,3,242500
1940,4,239999
2000,3,347000
1890,3,329999
4478,5,699900
1268,3,259900
2300,4,449900
1320,2,299900
1236,3,199900
2609,4,499998
3031,4,599000
1767,3,252900
1888,2,255000
1604,3,242900
1962,4,259900
3890,3,573900
1100,3,249900
1458,3,464500
2526,3,469000
2200,3,475000
2637,3,299900
1839,2,349900
1000,1,169900
2040,4,314900
3137,3,579900
1811,4,285900
1437,3,249900
1239,3,229900
2132,4,345000
4215,4,549000
2162,4,287000
1664,2,368500
2238,3,329900
2567,4,314000
1200,3,299000
852,2,179900
1852,4,299900
1203,3,239500
2004,3,399900
1600,2,319900
2450,3,360000
1516,2,252000
3200,4,509900
1985,3,289900
1534,2,294900
1429,3,208999
1380,2,202000
1694,3,242500
1940,4,339999
2000,5,547000
1890,2,249999
3478,5,699900
1268,1,229900
2300,5,549900
1320,2,229900
1286,2,199900
2609,4,449900
3000,4,499000
1767,2,252900
1888,3,285000
1604,3,282900
1962,4,359900
3890,4,573900
1100,2,249900
1458,3,324500
2526,3,469000
2200,4,475000
2637,3,299900
1850,3,349900
1100,1,169900
2040,3,314900
3137,4,579900
1811,3,285900
1437,3,249900
1239,2,229900
2132,4,445000
4215,4,495000
2162,3,287000
1664,2,268500
2238,3,329900
2567,5,444000
1200,1,199000
852,1,139900
1852,3,299900
2103,4,339500
